-75,19
-74.5,19
-74,19
-73.5,19
-73,19
-72,19
-71.5,19
-71,19
-70.5,19
-69.5,20
-69,20
-68.5,20
-67.5,20
-66.5,20
-66,19
-65,19
-64.5,19
-63.5,19
-63,19
-62.5,19
-61.5,19
-61,20
-60.5,20
-59.5,20
-59,21
-58,21
-57.5,21
-56.5,21
-55.5,21
-55,21
-54.5,21
-53.5,21
-53,21
-52.5,21
-51.5,21
-51,21
-50.5,21
-49.5,21
-49,21
-48.5,21
-47.5,21
-47,21
-46.5,21
-45.5,21
-44.5,21
-44,21
-43,21
-42.5,21
-42,21
-41,21
-40.5,21
-39.5,21
-39,21
-38.5,21
-37.5,21
-37,21
-36.5,21
-35.5,21
-35,21
-34.5,21
-33.5,22
-33,22
-32.5,22
-31.5,22
-30.5,22
-30,22
-29,22
-28.5,22
-27.5,22
-27,22
-26.5,22
-26,22
-25,22
-24.5,22
-24,22
-23,22
-22.5,22
-22,23
-21.5,23
-20.5,47
-20,48
-19.5,48
-18.5,48
-17.5,48
-17,48
-16.5,48
-15.5,48
-15,23
-14.5,24
-13.5,23
-13,24
-12.5,24
-11.5,24
-11,24
-10.5,24
-9.5,25
-9,25
-8.5,46
-7.5,46
-7,32
-6.5,31
-5.5,32
-5,32
-4.5,45
-3.5,33
-3,45
-2.5,44
-1.5,44
-1,44
-0.5,44
0.5,44
1,44
1.5,44
2.5,44
3,44
3.5,44
4.5,44
5,43
5.5,43
6.5,43
7,43
7.5,43
8.5,43
9,43
9.5,43
10.5,43
11,43
11.5,43
12.5,43
13,43
14,43
14.5,43
15,43
15.5,43
16.5,43
17.5,43
18,43
18.5,43
19.5,43
20,43
20.5,43
21,43
21.5,43
22.5,43
23,43
23.5,43
24.5,43
25,43
25.5,43
26.5,43
27,43
27.5,43
28.5,43
29,43
29.5,43
30.5,43
31,43
31.5,43
32.5,43
33,43
33.5,43
34.5,43
35,43
35.5,43
36.5,43
37,43
37.5,43
38.5,43
39,43
39.5,43
40.5,43
41,43
41.5,43
42,43
43,43
43.5,43
44,43
44.5,43
45,43
45.5,43
46.5,44
47,43
47.5,43
48.5,44
49,43
49.5,44
50,44
50.5,44
51,44
52,44
52.5,44
53,44
53.5,44
54.5,44
55,44
55.5,44
56,44
56.5,44
57.5,45
58,45
58.5,45
59,45
59.5,45
60.5,45
61,45
61.5,46
62.5,46
63,46
63.5,46
64.5,46
65,47
65.5,46
66.5,46
67,47
67.5,47
68,48
68.5,48
69,48
69.5,47
70,47
70.5,48
71,101
71.5,101
72.5,101
73,101
73.5,101
74.5,101
75,101
